trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.30942066457848,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-149.74064567428098,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-180.80222700941292,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-82.37848939420726,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-169.50963451180283,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,9,-53.6523795219528,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-96.58360530363838,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-88.4697007554632,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-35.39529277589718,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-48.31846310314606,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-0.8951621911209153,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,21,-49.41917342608734,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,9,-43.63401839417029,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,-108.85633912177126,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,7.729381422158458,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,15,-9.165890434130048,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-128.37739253796335,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-28.647097627484875,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,9,17.02404019860038,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,-23.135930789515797,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-77.7082952623071,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,16,6.5418900146812105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,7,-7.495659533931918,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-61.187853252084665,"{0: 15, 1: 1, 2: 0, 3: 4, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,7,-20.18604445419996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-8.924667908054587,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,4,-20.648373846674623,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,7.240523945243822,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,9,-44.41891005354066,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,5,-81.21693929637374,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
