trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0035, 'e': 0.9999938750062526}",25,0,-103.06527196407741,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.0035, 'e': 0.9999755001000415}",20,0,-157.00815815237314,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.0035, 'e': 0.999944875506459}",20,0,-61.554467787328676,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.0035, 'e': 0.9999020016006562}",20,0,-72.85266950630562,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.0035, 'e': 0.9998468789078377}",20,0,-148.23144485753664,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.0035, 'e': 0.9997795081032559}",25,0,-86.22824230531548,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.0035, 'e': 0.9996998900122023}",30,0,-95.634307707158,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.0035, 'e': 0.9996080256099974}",25,2,-133.55062057495172,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 1}",1
9,False,"{'a': 0.0035, 'e': 0.9995039160219791}",20,0,-52.62815756481753,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.0035, 'e': 0.9993875625234886}",20,0,-232.5324724481911,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.0035, 'e': 0.9992589665398547}",25,0,-135.4074326818449,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.0035, 'e': 0.9991181296463766}",20,0,-117.680096854136,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.0035, 'e': 0.9989650535683046}",25,0,-107.40095454306879,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.0035, 'e': 0.9987997401808185}",20,0,-110.27196405069729,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
15,False,"{'a': 0.0035, 'e': 0.9986221915090054}",25,0,-66.86345603389158,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.0035, 'e': 0.9984324097278344}",20,0,-124.87602190728906,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.0035, 'e': 0.9982303971621297}",25,0,-141.62720338405288,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.0035, 'e': 0.9980161562865429}",20,0,-79.90762131388037,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.0035, 'e': 0.9977896897255221}",25,0,-95.3816610412664,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",1
20,False,"{'a': 0.0035, 'e': 0.9975510002532796}",30,0,-136.15544110495918,"{0: 17, 1: 2, 2: 8, 3: 3, 4: 0}",0
21,False,"{'a': 0.0035, 'e': 0.9973000907937586}",30,0,-131.37554667952313,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.0035, 'e': 0.9970369644205967}",20,0,-50.301015128304975,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.0035, 'e': 0.996761624357089}",30,0,-231.48661493219947,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
24,False,"{'a': 0.0035, 'e': 0.9964740739761475}",20,0,-73.75217057747508,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
25,False,"{'a': 0.0035, 'e': 0.996174316800261}",20,0,-30.19034860202819,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.0035, 'e': 0.9958623565014509}",25,0,-42.16375454039629,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.0035, 'e': 0.9955381969012274}",25,0,-114.53248390203873,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.0035, 'e': 0.995201841970541}",30,0,-140.29294580038564,"{0: 17, 1: 7, 2: 2, 3: 3, 4: 1}",0
29,False,"{'a': 0.0035, 'e': 0.9948532958297358}",30,0,-197.56455737894098,"{0: 14, 1: 6, 2: 6, 3: 2, 4: 2}",0
30,False,"{'a': 0.0035, 'e': 0.9944925627484974}",20,0,-148.79545469787195,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.0035, 'e': 0.9941196471458018}",35,0,-205.54300161737655,"{0: 21, 1: 4, 2: 5, 3: 2, 4: 3}",0
32,False,"{'a': 0.0035, 'e': 0.9937345535898603}",30,0,-91.4773924726498,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
33,False,"{'a': 0.0035, 'e': 0.9933372867980641}",25,0,-90.12261741014657,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.0035, 'e': 0.9929278516369265}",25,2,-127.29153782708923,"{0: 12, 1: 5, 2: 4, 3: 0, 4: 2}",1
35,False,"{'a': 0.0035, 'e': 0.9925062531220232}",20,0,-110.56290127347407,"{0: 7, 1: 7, 2: 3, 3: 3, 4: 0}",0
36,False,"{'a': 0.0035, 'e': 0.9920724964179307}",20,0,-125.17416120345345,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.0035, 'e': 0.9916265868381631}",20,0,-195.36883271312684,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
38,False,"{'a': 0.0035, 'e': 0.9911685298451072}",30,0,-128.20575457886332,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.0035, 'e': 0.9906983310499554}",25,0,-129.32247249068908,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.0035, 'e': 0.9902159962126371}",25,0,-61.55772650339598,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.0035, 'e': 0.9897215312417482}",20,0,-148.55194678645324,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.0035, 'e': 0.9892149421944781}",35,0,-304.24170049328643,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 5}",0
43,False,"{'a': 0.0035, 'e': 0.9886962352765366}",20,0,-142.37067654543358,"{0: 6, 1: 6, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.0035, 'e': 0.9881654168420767}",20,5,-40.03153521200801,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.0035, 'e': 0.9876224933936179}",20,0,-69.76691058319756,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
