trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-49.43529440590151,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-155.67879394498848,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.11033238926845,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-142.2255024596578,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-197.52956177811637,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,19,-89.94061304007552,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-100.07043466014969,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,9,-38.806776732630716,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-60.083824996013306,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-122.34889675261309,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-77.47964899912839,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-131.85740756282607,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-26.43412275642971,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-156.96585194018994,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-65.29651867818792,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-87.43613641418864,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-37.75436069902325,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-210.8101766861957,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-216.68812540302213,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-81.20879362289283,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,23,2.8456487684456815,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-104.1248449668665,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-261.47834067127997,"{0: 9, 1: 9, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-214.4108944931915,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-102.88729355465767,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-112.62777279914776,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-205.7421369368633,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-180.36104062527204,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-36.3729195582646,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-214.40044638547934,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
